CreateDynamicObject(3749, -507.803527, 2592.824951, 58.502380, 0.000000, 0.000000, 90.000000); 
CreateDynamicObject(987, -506.256072, 2559.430908, 52.372447, 0.000000, 0.000000, 88.600021); 
CreateDynamicObject(987, -505.955841, 2571.366210, 52.372447, 0.000000, 0.000000, 90.000000); 
CreateDynamicObject(987, -506.851287, 2547.505126, 52.372447, 0.000000, 0.000000, 87.100051); 
CreateDynamicObject(987, -518.804382, 2547.631835, 52.399547, 0.000000, 0.000000, 0.000000); 
CreateDynamicObject(987, -530.745056, 2547.631835, 52.399547, 0.000000, 0.000000, 0.000000); 
CreateDynamicObject(987, -542.744873, 2547.631835, 52.399547, 0.000000, 0.000000, 450.000000); 
CreateDynamicObject(987, -542.744873, 2547.631835, 52.399547, 0.000000, 0.000000, 360.000000); 
CreateDynamicObject(987, -542.744873, 2553.613281, 52.399547, 0.000000, 0.000000, 450.000000); 
CreateDynamicObject(987, -542.704833, 2565.507324, 52.399547, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(987, -554.666015, 2565.507324, 52.399547, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(987, -566.626586, 2565.507324, 52.399547, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(987, -578.617187, 2565.507324, 52.399547, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(987, -590.577636, 2565.507324, 52.399547, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(987, -506.222686, 2609.306884, 52.372447, 0.000000, 0.000000, 87.000030); 
CreateDynamicObject(987, -505.919128, 2615.288330, 52.372447, 0.000000, 0.000000, 87.000030); 
CreateDynamicObject(987, -505.295349, 2627.224609, 52.372447, 0.000000, 0.000000, 88.800010); 
CreateDynamicObject(987, -504.990081, 2639.152832, 52.371444, 0.000000, 0.000000, 180.000000); 
CreateDynamicObject(987, -506.690948, 2600.367919, 52.372447, 0.000000, 0.000000, 87.000030); 
CreateDynamicObject(987, -516.940551, 2639.152832, 52.371444, 0.000000, 0.000000, 180.000000); 
CreateDynamicObject(987, -528.911193, 2639.152832, 52.371444, 0.000000, 0.000000, 180.000000); 
CreateDynamicObject(987, -540.851745, 2639.152832, 52.371444, 0.000000, 0.000000, 270.000000); 
CreateDynamicObject(987, -540.851745, 2633.151123, 52.371444, 0.000000, 0.000000, 270.000000); 
CreateDynamicObject(987, -540.902099, 2621.259033, 52.371444, 0.000000, 0.000000, 900.000000); 
CreateDynamicObject(987, -552.862670, 2621.259033, 52.371444, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(987, -564.793701, 2621.259033, 52.371444, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(987, -576.734313, 2621.259033, 52.371444, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(987, -588.654357, 2621.259033, 52.371444, 0.000000, 0.000000, 540.000000); 
CreateDynamicObject(13591, -581.424865, 2617.293457, 52.835433, 0.000000, 0.000000, 37.500000); 
